Company Name,Sector,Profits in USD,AI Benefits,Ticker,Profit 2022,Profit 2024
First Data Corp.,Financial Services,282434,Fraud detection and transaction analytics,FDC,,
First National of Nebraska Inc.,Banking ,755539,Fraud detection and credit risk analysis,AABA,,
First Tennessee National Corp.,Banking,169966,Fraud detection and investment analytics,ACY,,
FirstEnergy Corp.,Energy,892101,Infrastructure monitoring and predictive maintenance,FE,406000000.0,1102000000.0
Fiserv Inc.,Technology,8270896,Process automation and predictive analytics  ,FISV,,
Fisher Scientific International Inc.,Healthcare,793457,Inventory optimization and demand forecasting,AABA,,
FleetBoston Financial Co.,Banking,433742,Fraud detection and investment analytics ,ASX,61501545000.0,
Fleetwood Enterprises Inc.,Manufacturing,843539,Predictive maintenance and process optimization,AABA,,
Fleming Companies Inc.,Retail,579412,Inventory optimization and demand forecasting,AABA,,
Flowers Foods Inc.,Food Processing,180105,Demand forecasting and supply chain optimization,FLO,228394000.0,123416000.0
Flowserv Corp,Manufacturing,313926,Predictive maintenance and process optimization,AAMC,,
Fluor Corp,Engineering,129074,Project planning and optimization  ,FLR,145000000.0,139000000.0
FMC Corp,Chemicals,566845,R&D acceleration and predictive maintenance,FMC,736500000.0,1321500000.0
Foamex International Inc,Manufacturing  ,147658,Predictive maintenance and quality control automation,CIX,20871000.0,22593000.0
Foot Locker Inc,Retail,540712,Inventory optimization and demand forecasting ,FL,893000000.0,342000000.0
Footstar Inc.,Retail,879257,Inventory optimization and personalized promotions,A,1254000000.0,1240000000.0
Ford Motor Co,Automotive,205584,Predictive maintenance and supply chain optimization,AJG,1114200000.0,969500000.0
Forest Laboratories Inc.,Healthcare ,293940,Drug discovery and diagnostic assistance,AABA,,
Fortune Brands Inc.,Consumer Goods,565834,Demand forecasting and marketing optimization,AABA,,
Foster Wheeler Ltd.,Engineering ,831148,Project planning and optimization,ABB,,
FPL Group Inc.,Energy,468507,Infrastructure monitoring and predictive maintenance,A,1254000000.0,1240000000.0
Franklin Resources Inc.,Financial Services  ,103093,Investment analytics and fraud detection,BEN,1291900000.0,882800000.0
Freeport McMoran Copper & Gold Inc.,Mining,162986,Equipment monitoring and predictive maintenance,AABA,,
Frontier Oil Corp,Oil and Gas,462674,Predictive maintenance and demand forecasting,AAMC,,
Furniture Brands International Inc.,Manufacturing,874220,Predictive maintenance and process optimization  ,AABA,,
Gannett Co. Inc.,Media,765600,Content recommendation and ad targeting,GCI,-78002000.0,-27791000.0
Gap Inc.,Retail,965706,Inventory optimization and demand forecasting ,GPS,,
Gateway Inc.,Technology,6590687,Demand forecasting and supply chain optimization,A,1254000000.0,1240000000.0
GATX Corporation,Transportation  ,549374,Fleet optimization and demand forecasting,GATX,155900000.0,259200000.0
Gemstar-TV Guide International Inc.,Media,343244,Content recommendation and ad targeting,AABA,,
GenCorp Inc.,Manufacturing,248129,Predictive maintenance and process optimization,A,1254000000.0,1240000000.0
General Cable Corporation,Manufacturing,343040,Predictive maintenance and quality control automation,ACH,,
General Dynamics Corporation,Aerospace/Defense,125732,Supply chain optimization and predictive maintenance,GD,3390000000.0,3315000000.0
General Electric Company,Conglomerate,227241,Wide range of AI applications ,GE,336000000.0,9482000000.0
General Mills Inc,Food Processing,803459,Demand forecasting and supply chain optimization,GIS,2707300000.0,2593900000.0
General Motors Corporation,Automotive,883626,Predictive maintenance and supply chain optimization,AA,-123000000.0,-651000000.0
Genesis Health Ventures Inc.,Healthcare,114651,Patient care optimization and administration automation,AABA,,
Gentek Inc.,Manufacturing,958911,Predictive maintenance and process optimization,A,1254000000.0,1240000000.0
Gentiva Health Services Inc.,Healthcare,342834,Clinical workflow optimization and fraud detection,AABA,,
Genuine Parts Company,Wholesale,564313,Inventory optimization and demand forecasting,GPC,1182701000.0,1316524000.0
Genuity Inc.,Telecommunications  ,186766,Network optimization and predictive analytics,A,1254000000.0,1240000000.0
Genzyme Corporation,Healthcare,158640,Drug discovery and precision medicine  ,AAME,1525000.0,
Georgia Gulf Corporation,Chemicals,719761,R&D acceleration and predictive maintenance,ACH,,
Georgia-Pacific Corporation,Manufacturing ,512096,Predictive maintenance and process optimization,AA,-123000000.0,-651000000.0
Gillette Company,Consumer Goods,551260,Marketing optimization and demand forecasting ,ACHC,273139000.0,-21667000.0
Gold Kist Inc.,Food Processing,316012,Demand forecasting and supply chain optimization,A,1254000000.0,1240000000.0
Golden State Bancorp Inc.,Banking,900901,Fraud detection and credit risk analysis,AABA,,
Golden West Financial Corporation,Banking,373087,Fraud detection and investment analytics,FBK,124555000.0,120224000.0
Goldman Sachs Group Inc.,Financial Services,383143,Investment analytics and fraud detection,GS,11261000000.0,8516000000.0
Goodrich Corporation,Manufacturing,299883,Predictive maintenance and design optimization,ACH,,
The Goodyear Tire & Rubber Company,Manufacturing,857865,Predictive maintenance and design optimization,GT,202000000.0,-689000000.0
Granite Construction Incorporated,Construction,256846,Project planning and optimization  ,GVA,83302000.0,43599000.0
Graybar Electric Company Inc.,Wholesale,816934,Inventory optimization and demand forecasting,AABA,,
Great Lakes Chemical Corporation,Chemicals,919616,R&D acceleration and predictive maintenance,WLK,2247000000.0,479000000.0
Great Plains Energy Inc.,Energy,440999,Infrastructure monitoring and predictive maintenance,AABA,,
GreenPoint Financial Corp.,Banking,125423,Fraud detection and credit risk analysis,ACY,,
Greif Bros. Corporation,Manufacturing,957344,Predictive maintenance and process optimization,ACH,,
Grey Global Group Inc.,Advertising,284277,Ad targeting and marketing analytics,BERY,766000000.0,609000000.0
Group 1 Automotive Inc.,Retail  ,538686,Customer analytics and inventory optimization,GPI,751500000.0,601600000.0
Guidant Corporation,Healthcare,648267,Medical device optimization and diagnostics,AAME,1525000.0,
H&R Block Inc.,Financial Services,721732,Process automation and fraud detection,HRB,553674000.0,553700000.0
H.B. Fuller Company,Manufacturing,970722,Predictive maintenance and supply chain optimization ,FUL,180313000.0,144906000.0
H.J. Heinz Company,Food Processing,433831,Demand forecasting and supply chain optimization,ACHC,273139000.0,-21667000.0
Halliburton Co.,Oil and Gas,963349,Predictive maintenance and drilling optimization,AJG,1114200000.0,969500000.0
Harley-Davidson Inc.,Manufacturing,511505,Predictive maintenance and design optimization,HOG,741408000.0,706586000.0
Harman International Industries Inc.,Manufacturing,334122,Predictive maintenance and design optimization,AABA,,
Harrah's Entertainment Inc.,Hospitality  ,662584,Customer analytics and demand forecasting,AABA,,
Harris Corp.,Technology,5629803,Design automation and predictive maintenance,HRS,,
Harsco Corp.,Industrials,194673,Predictive maintenance and process optimization,HSC,,
Hartford Financial Services Group Inc.,Insurance ,417784,Claims automation and fraud detection,HIG,1819000000.0,2504000000.0
Hasbro Inc.,Consumer Goods,109874,"Demand forecasting, marketing optimization",HAS,203500000.0,-1489300000.0
Hawaiian Electric Industries Inc.,Utilities,479968,"Infrastructure monitoring, demand forecasting",HE,243028000.0,201128000.0
HCA Inc.,Healthcare,170990,"Patient flow optimization, administration automation",A,1254000000.0,1240000000.0
Health Management Associates Inc.,Healthcare,399376,"Patient care optimization, fraud detection",AABA,,
Health Net Inc.,Healthcare,226459,"Claims automation, utilization analysis",A,1254000000.0,1240000000.0
Healthsouth Corp,Healthcare,373197,"Patient care optimization, fraud detection",AAMC,,
Henry Schein Inc.,Healthcare,162644,"Supply chain optimization, inventory management",HSIC,538000000.0,416000000.0
Hercules Inc.,Chemicals,899739,"Predictive maintenance, R&D acceleration",A,1254000000.0,1240000000.0
Herman Miller Inc.,Manufacturing,565556,"Predictive maintenance, design optimization",MLHR,,
Hershey Foods Corp.,Food Processing,104715,"Demand forecasting, supply chain optimization",AAMC,,
Hewlett-Packard Company,Technology,3563191,"Supply chain optimization, product optimization",HPE,868000000.0,2025000000.0
Hibernia Corp.,Banking,548183,"Fraud detection, investment analytics",AAMC,,
Hillenbrand Industries Inc.,Manufacturing,308538,"Predictive maintenance, process optimization ",AABA,,
Hilton Hotels Corp.,Hospitality,734959,"Customer analytics, demand forecasting",AAMC,,
Hollywood Entertainment Corp.,Entertainment,524719,"Customer analytics, personalized recommendations",ACY,,
Home Depot Inc.,Retail,392269,"Inventory optimization, demand forecasting",HD,16433000000.0,17105000000.0
Hon Industries Inc.,Manufacturing,198253,"Predictive maintenance, process optimization",THO,1137804000.0,374271000.0
Honeywell International Inc.,Manufacturing,292239,"Predictive maintenance, process optimization",HON,4966000000.0,5658000000.0
Hormel Foods Corp.,Food Processing,505645,"Demand forecasting, supply chain optimization",AAMC,,
Host Marriott Corp.,Hospitality,131310,"Customer analytics, demand forecasting",AAMC,,
Household International Corp.,Financial Services,864128,"Credit analysis, fraud detection",ACY,,
Hovnanian Enterprises Inc.,Homebuilding,961293,"Demand forecasting, process optimization",HOV,225490000.0,205891000.0
Hub Group Inc.,Transportation,502353,"Fleet optimization, demand forecasting ",HUBG,356948000.0,167528000.0
Hubbell Inc.,Manufacturing,807607,"Predictive maintenance, process optimization",HUBB,545900000.0,759800000.0
Hughes Supply Inc.,Wholesale,256201,"Inventory optimization, demand forecasting",AABA,,
Humana Inc.,Healthcare,892056,"Claims automation, utilization analysis",HUM,2806000000.0,2489000000.0
Huntington Bancshares Inc.,Banking,165636,"Fraud detection, credit analysis",AABA,,
Idacorp Inc.,Utilities,335602,"Infrastructure monitoring, demand forecasting",IDA,258982000.0,261195000.0
IDT Corporation,Telecommunications,671361,"Network optimization, customer analytics",IDT,27028000.0,40492000.0
IKON Office Solutions Inc.,Business Services,969219,"Process automation, predictive analytics",AABA,,
Illinois Tool Works Inc.,Manufacturing,687830,"Predictive maintenance, process optimization",ITW,3034000000.0,2957000000.0
IMC Global Inc.,Chemicals,400174,"Predictive maintenance, process optimization",BOOM,14184000.0,21389000.0
Imperial Sugar Company,Food Processing,871991,"Demand forecasting, supply chain optimization",AEL,,
IMS Health Inc.,Healthcare,659624,"Data analytics, administration process automation",A,1254000000.0,1240000000.0
Ingles Market Inc,Retail,764129,"Inventory optimization, demand forecasting",AABA,,
Ingram Micro Inc.,Wholesale,647815,"Inventory optimization, demand forecasting",A,1254000000.0,1240000000.0
Insight Enterprises Inc.,Technology,4538376,"Supply chain optimization, predictive analytics",NSIT,280608000.0,281309000.0
Integrated Electrical Services Inc.,Construction,403929,Project scheduling optimization  ,AABA,,
Intel Corporation,Technology,8149592,"Chip design automation, equipment predictive maintenance",INTC,8014000000.0,1689000000.0
International Paper Co.,Manufacturing,918613,"Predictive maintenance, supply chain optimization",IP,1504000000.0,288000000.0
Interpublic Group of Companies Inc.,Advertising,795374,"Ad targeting, campaign optimization",IPG,938000000.0,1098400000.0
Interstate Bakeries Corporation,Food Processing,604695,"Demand forecasting, distribution optimization",AA,-123000000.0,-651000000.0
International Business Machines Corp.,Technology,3049103,"IT process automation, AI capabilities",IBM,1640000000.0,7502000000.0
International Flavors & Fragrances Inc.,Manufacturing,369941,"Product development acceleration, demand forecasting",IFF,-1868000000.0,-2565000000.0
International Multifoods Corporation,Food Processing,954975,"Demand forecasting, supply chain optimization",AA,-123000000.0,-651000000.0
Intuit Inc.,Technology,8655005,"Process automation, security enhancement",INTU,2066000000.0,2384000000.0
IT Group Inc.,Construction,391666,Project scheduling optimization,CIT,,
ITT Industries Inc.,Manufacturing,840561,"Predictive maintenance, process optimization",SMIT,-3283776.0,
Ivax Corp.,Healthcare,835111,"Drug discovery acceleration, utilization analysis",AAMC,,
J.B. Hunt Transport Services Inc.,Transportation,962118,"Fleet routing optimization, demand forecasting",JBHT,969351000.0,728287000.0
J.C. Penny Co.,Retail,354700,"Customer analytics, inventory optimization",AJG,1114200000.0,969500000.0
J.P. Morgan Chase & Co.,Banking,607550,"Fraud detection, investment analytics",JPM,37676000000.0,49552000000.0
Jabil Circuit Inc.,Manufacturing,377615,"Predictive maintenance, supply chain optimization ",AABA,,
Jack In The Box Inc.,Restaurants,586318,"Demand forecasting, customer analytics",JACK,115781000.0,130826000.0
Jacobs Engineering Group Inc.,Engineering,916461,"Project optimization, predictive analytics",JEC,,
JDS Uniphase Corp.,Technology,5097667,"Product testing automation, predictive maintenance",AAMC,,
Jefferson-Pilot Co.,Financial Services,919337,"Risk analytics, fraud detection",ARTW,97797.0,266969.0
John Hancock Financial Services Inc.,Financial Services,994579,"Risk modeling, fraud detection",CBFV,11247000.0,22550000.0
Johnson & Johnson,Healthcare,926062,"Drug discovery, precision medicine",JNJ,17941000000.0,35153000000.0
Johnson Controls Inc.,Manufacturing,958504,"Predictive maintenance, building automation",JNJ,17941000000.0,35153000000.0
Jones Apparel Group Inc.,Retail,423644,"Inventory optimization, demand forecasting",AABA,,
KB Home,Homebuilding,355739,"Demand forecasting, process optimization",KBH,816666000.0,590177000.0
Kellogg Company,Food Processing,320559,"Demand forecasting, supply chain optimization ",K,960000000.0,951000000.0
Kellwood Company,Manufacturing,461543,"Predictive maintenance, design optimization",ACHC,273139000.0,-21667000.0
Kelly Services Inc.,Staffing,844875,Candidate matching and ranking,KELYA,-62500000.0,36400000.0
Kemet Corp.,Manufacturing,635461,"Predictive maintenance, quality control automation",KEM,,
Kennametal Inc.,Manufacturing,498444,"Predictive maintenance, process optimization",KMT,144623000.0,118459000.0
Kerr-McGee Corporation,Oil and Gas,434071,"Exploration optimization, equipment monitoring",ACH,,
KeyCorp,Banking,982828,"Fraud detection, investment analytics  ",KEY,1917000000.0,967000000.0
KeySpan Corp.,Utilities,825480,"Infrastructure monitoring, demand forecasting",AAMC,,
Kimball International Inc.,Manufacturing,329998,"Predictive maintenance, process optimization",KBAL,,
Kimberly-Clark Corporation,Manufacturing,957337,"Predictive maintenance, supply chain optimization",KMB,1934000000.0,1764000000.0
Kindred Healthcare Inc.,Healthcare,472570,"Patient care optimization, administration automation",AABA,,
KLA-Tencor Corporation,Technology,5068306,"Automated quality control, predictive maintenance",KLAC,3321807000.0,3387277000.0
K-Mart Corp.,Retail,196857,"Inventory optimization, demand forecasting",AAMC,,
Knight-Ridder Inc.,Media  ,351018,"Content recommendation, ad targeting",AABA,,
Kohl's Corp.,Retail,197472,"Inventory optimization, customer analytics",KSS,938000000.0,-19000000.0
KPMG Consulting Inc.,Consulting,742182,"Data analytics, process optimization",AABA,,
Kroger Co.,Retail,315129,"Inventory optimization, demand forecasting",KR,1655000000.0,2244000000.0
L-3 Communications Holdings Inc.,Aerospace/Defense,644160,"Predictive maintenance, supply chain optimization",CCOI,5146000.0,1273441000.0
Laboratory Corporation of America Holdings,Healthcare,632370,"Automated diagnostics, fraud detection ",LH,1279100000.0,418000000.0
Lam Research Corporation,Technology,8562215,"Automated quality control, predictive maintenance ",LRCX,4605286000.0,4510931000.0
LandAmerica Financial Group Inc.,Financial Services,122828,"Risk analytics, fraud detection",AFG,898000000.0,852000000.0
Lands' End Inc.,Retail,519809,"Recommendation engine, demand forecasting",LE,33369000.0,-12530000.0
Landstar System Inc.,Transportation,225851,"Fleet optimization, demand forecasting ",LSTR,430914000.0,264394000.0
La-Z-Boy Inc.,Manufacturing,874761,"Predictive maintenance, process optimization",LZB,150017000.0,150664000.0
Lear Corporation,Manufacturing,340355,"Predictive maintenance, design optimization",LEA,327700000.0,572500000.0
Legg Mason Inc.,Financial Services,211875,"Investment analytics, fraud detection",LM,,
Leggett & Platt Inc.,Manufacturing,616473,"Predictive maintenance, process optimization ",AABA,,
Lehman Brothers Holdings Inc.,Financial Services,767491,"Investment analytics, fraud detection",AABA,,
Lennar Corporation,Homebuilding,857619,"Demand forecasting, process optimization",LEN,4614125000.0,3938511000.0
Lennox International Inc.,Manufacturing,545412,"Predictive maintenance, quality control automation",LII,497100000.0,590100000.0
Level 3 Communications Inc.,Telecommunications,447965,"Network optimization, predictive analytics",AABA,,
Levi Strauss & Co.,Retail,970473,"Inventory optimization, demand forecasting",ARTW,97797.0,266969.0
Lexmark International Inc.,Technology,1780538,"Product optimization, predictive maintenance",AABA,,
Limited Inc.,Retail,292146,"Inventory optimization, demand forecasting",A,1254000000.0,1240000000.0
Lincoln National Corporation,Financial Services,842078,"Risk analytics, claims automation",LNC,1358000000.0,-752000000.0
Linens 'n Things Inc.,Retail,700914,"Inventory optimization, demand forecasting",AABA,,
Lithia Motors Inc.,Retail,191134,"Customer analytics, inventory optimization",LAD,1251000000.0,1000800000.0
Liz Claiborne Inc.,Retail,527979,"Inventory optimization, demand forecasting",AABA,,
Lockheed Martin Corporation,Aerospace/Defense,285836,"Predictive maintenance, supply chain optimization",LMT,5732000000.0,6920000000.0
Loews Corporation,Conglomerate,591860,Wide range of AI applications,L,822000000.0,1434000000.0
Longs Drug Stores Corporation,Retail,321482,"Inventory optimization, demand forecasting",AA,-123000000.0,-651000000.0
Louisiana-Pacific Corporation,Manufacturing,911782,"Predictive maintenance, process optimization",LPX,1086000000.0,178000000.0
Lowe's Companies Inc.,Retail,108047,"Inventory optimization, demand forecasting",LOW,8442000000.0,6437000000.0
LSI Logic Corporation,Technology,6049159,"Chip design automation, predictive maintenance",ACH,,
The LTV Corporation,Manufacturing ,312642,"Predictive maintenance, process optimization",AAME,1525000.0,
The Lubrizol Corporation,Chemicals,724401,"R&D acceleration, predictive maintenance ",ACH,,
Lucent Technologies Inc.,Telecommunications,138255,"Network optimization, predictive analytics",A,1254000000.0,1240000000.0
Lyondell Chemical Company,Chemicals,279068,"Process optimization, predictive maintenance",AEL,,
M & T Bank Corporation,Banking,578393,"Fraud detection, investment analytics",MTB,1992000000.0,2741000000.0
Magellan Health Services Inc.,Healthcare,187043,"Claims automation, utilization analysis",MGLN,,
Mail-Well Inc.,Business Services,456496,"Process automation, data analytics",A,1254000000.0,1240000000.0
Mandalay Resort Group,Hospitality,783217,"Customer analytics, demand forecasting  ",AEY,,
Manor Care Inc.,Healthcare,248343,"Patient care optimization, administration automation",A,1254000000.0,1240000000.0
Manpower Inc.,Staffing  ,424903,Candidate matching and ranking,A,1254000000.0,1240000000.0
Marathon Oil Corporation,Oil and Gas,488833,"Exploration optimization, equipment monitoring",MRO,,
Mariner Health Care Inc.,Healthcare,296620,"Patient care optimization, fraud detection",AABA,,
Markel Corporation,Insurance,464087,"Risk analytics, claims automation",MKL,-216277000.0,1996060000.0
Marriott International Inc.,Hospitality,446402,"Customer analytics, demand forecasting",MAR,2358000000.0,3083000000.0
Marsh & McLennan Companies Inc.,Insurance,476037,"Risk analytics, claims automation ",MMC,3050000000.0,3756000000.0
Marsh Supermarkets Inc.,Retail ,102646,"Inventory optimization, demand forecasting",AABA,,
Marshall & Ilsley Corporation,Banking,180343,"Fraud detection, investment analytics",AA,-123000000.0,-651000000.0
Martin Marietta Materials Inc.,Construction Materials,886238,"Demand forecasting, process optimization",MLM,867000000.0,1169000000.0
Masco Corporation,Manufacturing,559532,"Predictive maintenance, supply chain optimization",MAS,846000000.0,908000000.0
Massey Energy Company,Mining,791422,"Equipment monitoring, predictive maintenance",AEL,,
MasTec Inc.,Construction,601939,Project scheduling optimization  ,MTZ,33354000.0,-49949000.0
Mattel Inc.,Consumer Goods,983373,"Demand forecasting, marketing optimization",MAT,393913000.0,214352000.0
Maxim Integrated Products Inc.,Technology,9846486,"Chip design automation, predictive maintenance",MXIM,,
Maxtor Corporation,Technology,3868168,"Automated quality control, predictive maintenance",DXR,5178133.0,280640.0
Maxxam Inc.,Manufacturing,636701,"Predictive maintenance, process optimization",A,1254000000.0,1240000000.0
The May Department Stores Company,Retail,196549,"Inventory optimization, demand forecasting",AES,-546000000.0,249000000.0
Maytag Corporation,Manufacturing,183651,"Predictive maintenance, quality control automation",AAME,1525000.0,
MBNA Corporation,Financial Services,888240,"Credit analytics, fraud detection",BLL,,
McCormick & Company Incorporated,Food Processing,348551,"Demand forecasting, supply chain optimization",MKC,682000000.0,680600000.0
McDonald's Corporation,Restaurants  ,593415,"Demand forecasting, supply chain optimization",MCD,6177000000.0,8469000000.0
The McGraw-Hill Companies Inc.,Media,725308,"Content recommendation, ad targeting ",AABA,,
McKesson Corporation,Healthcare,555601,"Inventory optimization, claims automation",MCK,1114000000.0,3560000000.0
McLeodUSA Incorporated,Telecommunications,478539,"Network optimization, customer analytics",ATI,323500000.0,410800000.0
M.D.C. Holdings Inc.,Homebuilding,576827,"Demand forecasting, process optimization",MDC,,
MDU Resources Group Inc.,Utilities,265151,"Infrastructure monitoring, demand forecasting ",MDU,367489000.0,414707000.0
MeadWestvaco Corporation,Manufacturing,811063,"Predictive maintenance, supply chain optimization",ACH,,
Medtronic Inc.,Healthcare,390800,"Medical device optimization, precision medicine",EGOV,,
Mellon Financial Corporation,Financial Services,678019,"Investment analytics, fraud detection ",FULT,286981000.0,284280000.0
The Men's Wearhouse Inc.,Retail,959570,"Inventory optimization, demand forecasting",AABA,,
Merck & Co. Inc.,Healthcare,730040,"Drug discovery, precision medicine",A,1254000000.0,1240000000.0
Mercury General Corporation,Insurance,381065,"Claims automation, risk modeling",MCY,-512672000.0,96336000.0
Merrill Lynch & Co. Inc.,Financial Services,798930,"Investment analytics, fraud detection",AABA,,
Metaldyne Corporation,Manufacturing,524489,"Predictive maintenance, quality control automation",MEOH,353830000.0,174140000.0
Metals USA Inc.,Metals,324271,"Demand forecasting, predictive maintenance ",A,1254000000.0,1240000000.0
MetLife Inc.,Insurance,506023,"Claims automation, policy pricing optimization",MET,5284000000.0,1578000000.0
Metris Companies Inc,Financial Services,458147,"Credit scoring, fraud detection",AABA,,
MGIC Investment Corporation,Financial Services,280090,"Risk analytics, fraud detection",MTG,865349000.0,712949000.0
MGM Mirage,Hospitality,601691,"Customer analytics, demand forecasting",MGM,1473093000.0,1142180000.0
Michaels Stores Inc.,Retail,409774,"Inventory optimization, demand forecasting",AABA,,
Micron Technology Inc.,Technology,6541530,"Manufacturing process optimization, quality control",MU,8687000000.0,-5833000000.0
Microsoft Corporation,Technology,2727566,"Product recommendation, IT process automation  ",MSFT,72738000000.0,72361000000.0
Milacron Inc.,Manufacturing,608730,"Predictive maintenance, process optimization",A,1254000000.0,1240000000.0
Millennium Chemicals Inc.,Chemicals,192120,"Process optimization, predictive maintenance",AABA,,
Mirant Corporation,Energy,583456,"Predictive maintenance, demand forecasting",AAME,1525000.0,
Mohawk Industries Inc.,Manufacturing,525868,"Predictive maintenance, supply chain optimization",MHK,25200000.0,-439500000.0
Molex Incorporated,Manufacturing,241342,"Predictive maintenance, quality control automation",ABM,230400000.0,251300000.0
The MONY Group Inc.,Financial Services,719506,"Risk modeling, fraud detection",AABA,,
Morgan Stanley Dean Witter & Co.,Financial Services,302865,"Investment analytics, fraud detection",MS,11029000000.0,9087000000.0
Motorola Inc.,Technology,6090248,"Supply chain optimization, product optimization",A,1254000000.0,1240000000.0
MPS Group Inc.,Staffing,214111,Candidate matching and ranking ,A,1254000000.0,1240000000.0
Murphy Oil Corporation,Oil and Gas,407825,"Exploration optimization, equipment monitoring",MUR,965047000.0,661559000.0
Nabors Industries Inc,Oil and Gas,248264,"Predictive maintenance, drilling optimization",NC,74158000.0,-39587000.0
Nacco Industries Inc,Manufacturing  ,208609,"Predictive maintenance, process optimization",NC,74158000.0,-39587000.0
Nash Finch Company,Wholesale,136721,"Inventory optimization, demand forecasting  ",ACHC,273139000.0,-21667000.0
National City Corp.,Banking,184762,"Fraud detection, investment analytics",AAMC,,
National Commerce Financial Corporation,Banking,308407,"Fraud detection, credit risk analysis",NCOM,,
National Fuel Gas Company,Oil and Gas,671486,"Pipeline monitoring, equipment maintenance optimization",NFG,566021000.0,476866000.0
National Oilwell Inc,Manufacturing,262213,"Predictive maintenance, process optimization",NOV,155000000.0,993000000.0
National Rural Utilities Cooperative Finance Corporation,Financial Services,563805,"Risk analytics, investment optimization  ",AA,-123000000.0,-651000000.0
National Semiconductor Corporation,Technology,5825430,"Chip design automation, predictive maintenance",ON,1902200000.0,2183700000.0
National Service Industries Inc,Business Services,115339,"Process automation, predictive analytics ",AABA,,
Navistar International Corporation,Manufacturing,598463,"Predictive maintenance, supply chain optimization",NAV,,
NCR Corporation,Technology,1891017,"Process automation, predictive analytics",NCR,,
The Neiman Marcus Group Inc.,Retail,501670,"Recommendation engine, inventory optimization",AABA,,
New Jersey Resources Corporation,Utilities,549652,"Infrastructure monitoring, demand forecasting",NJR,274922000.0,264724000.0
New York Times Company,Media,345449,"Content recommendation, ad targeting",NYT,173905000.0,232387000.0
Newell Rubbermaid Inc,Manufacturing,770210,"Predictive maintenance, supply chain optimization ",AABA,,
Newmont Mining Corporation,Mining,452258,"Equipment monitoring, predictive maintenance",NEM,-429000000.0,-2494000000.0
Nextel Communications Inc,Telecommunications,163053,"Network optimization, customer churn prediction",AABA,,
Nicor Inc,Utilities,342308,"Infrastructure monitoring, demand forecasting",EGOV,,
Nike Inc,Retail,881805,"Demand forecasting, inventory optimization  ",NKE,6046000000.0,5070000000.0
NiSource Inc,Utilities,628021,"Infrastructure monitoring, demand forecasting",NI,804100000.0,714300000.0
Noble Energy Inc,Oil and Gas,506899,"Exploration optimization, equipment monitoring ",NBL,,
Nordstrom Inc,Retail,762933,"Recommendation engine, inventory optimization",JWN,178000000.0,245000000.0
Norfolk Southern Corporation,Transportation,218645,"Fleet optimization, demand forecasting",NSC,3270000000.0,1827000000.0
Nortek Inc,Manufacturing,769569,"Predictive maintenance, process optimization",A,1254000000.0,1240000000.0
North Fork Bancorporation Inc,Banking,955370,"Fraud detection, credit risk analysis",AABA,,
Northeast Utilities System,Utilities,373087,"Infrastructure monitoring, demand forecasting ",ERH,4792425.0,-13202880.0
Northern Trust Corporation,Financial Services,901207,"Investment analytics, fraud detection",NTRS,1336000000.0,1107300000.0
Northrop Grumman Corporation,Aerospace/Defense  ,615358,"Predictive maintenance, supply chain optimization",NOC,4896000000.0,2056000000.0
NorthWestern Corporation,Utilities,918929,"Infrastructure monitoring, demand forecasting",NWE,183008000.0,194131000.0
Novellus Systems Inc,Technology,7134090,"Automated quality control, predictive maintenance",AABA,,
NSTAR,Utilities,755030,"Infrastructure monitoring, demand forecasting  ",ESGR,-870000000.0,1118000000.0
NTL Incorporated,Telecommunications,910800,"Network optimization, customer analytics",ABM,230400000.0,251300000.0
Nucor Corp,Metals,475569,"Predictive maintenance, demand forecasting",NUE,7607000000.0,4525000000.0
Nvidia Corp,Technology,2283798,"Chip design automation, predictive maintenance",NVDA,9752000000.0,4368000000.0
NVR Inc,Homebuilding,749048,"Demand forecasting, process optimization",NVR,1725575000.0,1591611000.0
Northwest Airlines Corp,Transportation,900206,"Pricing optimization, demand forecasting ",AAMC,,
Occidental Petroleum Corp,Oil and Gas,501727,"Exploration optimization, equipment monitoring",OXY,13304000000.0,4696000000.0
Ocean Energy Inc,Oil and Gas,461305,"Exploration optimization, equipment monitoring",A,1254000000.0,1240000000.0
Office Depot Inc.,Retail,530945,"Inventory optimization, demand forecasting  ",ODP,166000000.0,139000000.0
OfficeMax Inc,Retail,380521,"Inventory optimization, demand forecasting",A,1254000000.0,1240000000.0
OGE Energy Corp,Energy,756868,"Infrastructure monitoring, predictive maintenance",OGE,665700000.0,416800000.0
Oglethorpe Power Corp.,Energy,632914,"Infrastructure monitoring, predictive maintenance ",AAMC,,
Ohio Casualty Corp.,Insurance,974419,"Claims automation, risk modeling",AAMC,,
Old Republic International Corp.,Insurance,436524,"Claims automation, risk modeling",ORI,686400000.0,598600000.0
Olin Corp.,Chemicals,158540,"Predictive maintenance, process optimization",OLN,1326900000.0,460200000.0
OM Group Inc,Chemicals,342127,"Process optimization, predictive maintenance",WTT,,
Omnicare Inc,Healthcare,473243,"Inventory optimization, claims automation ",A,1254000000.0,1240000000.0
Omnicom Group,Advertising,274325,"Ad targeting, campaign optimization",OMC,1316500000.0,1391400000.0
On Semiconductor Corp,Technology,2473993,"Chip design automation, predictive maintenance",AAMC,,
ONEOK Inc,Energy,178971,"Infrastructure monitoring, predictive maintenance ",OKE,1722000000.0,2659000000.0
