Company Name ,Sector,Profits in USD,AI Benefits
H.B. Fuller Company,Manufacturing,970722,Predictive maintenance and supply chain optimization 
H.J. Heinz Company,Food Processing,433831,Demand forecasting and supply chain optimization
Halliburton Co.,Oil and Gas,963349,Predictive maintenance and drilling optimization
Harley-Davidson Inc.,Manufacturing,511505,Predictive maintenance and design optimization
Harman International Industries Inc.,Manufacturing,334122,Predictive maintenance and design optimization
Harrah's Entertainment Inc.,Hospitality  ,662584,Customer analytics and demand forecasting
Harris Corp.,Technology,5629803,Design automation and predictive maintenance
Harsco Corp.,Industrials,194673,Predictive maintenance and process optimization
Hartford Financial Services Group Inc.,Insurance ,417784,Claims automation and fraud detection
Hasbro Inc.,Consumer Goods,109874,"Demand forecasting, marketing optimization"
Hawaiian Electric Industries Inc.,Utilities,479968,"Infrastructure monitoring, demand forecasting"
HCA Inc.,Healthcare,170990,"Patient flow optimization, administration automation"
Health Management Associates Inc.,Healthcare,399376,"Patient care optimization, fraud detection"
Health Net Inc.,Healthcare,226459,"Claims automation, utilization analysis"
Healthsouth Corp,Healthcare,373197,"Patient care optimization, fraud detection"
Henry Schein Inc.,Healthcare,162644,"Supply chain optimization, inventory management"
Hercules Inc.,Chemicals,899739,"Predictive maintenance, R&D acceleration"
Herman Miller Inc.,Manufacturing,565556,"Predictive maintenance, design optimization"
Hershey Foods Corp.,Food Processing,104715,"Demand forecasting, supply chain optimization"
Hewlett-Packard Company,Technology,3563191,"Supply chain optimization, product optimization"
Hibernia Corp.,Banking,548183,"Fraud detection, investment analytics"
Hillenbrand Industries Inc.,Manufacturing,308538,"Predictive maintenance, process optimization "
Hilton Hotels Corp.,Hospitality,734959,"Customer analytics, demand forecasting"
Hollywood Entertainment Corp.,Entertainment,524719,"Customer analytics, personalized recommendations"
Home Depot Inc.,Retail,392269,"Inventory optimization, demand forecasting"
Hon Industries Inc.,Manufacturing,198253,"Predictive maintenance, process optimization"
Honeywell International Inc.,Manufacturing,292239,"Predictive maintenance, process optimization"
Hormel Foods Corp.,Food Processing,505645,"Demand forecasting, supply chain optimization"
Host Marriott Corp.,Hospitality,131310,"Customer analytics, demand forecasting"
Household International Corp.,Financial Services,864128,"Credit analysis, fraud detection"
Hovnanian Enterprises Inc.,Homebuilding,961293,"Demand forecasting, process optimization"
Hub Group Inc.,Transportation,502353,"Fleet optimization, demand forecasting "
Hubbell Inc.,Manufacturing,807607,"Predictive maintenance, process optimization"
Hughes Supply Inc.,Wholesale,256201,"Inventory optimization, demand forecasting"
Humana Inc.,Healthcare,892056,"Claims automation, utilization analysis"
Huntington Bancshares Inc.,Banking,165636,"Fraud detection, credit analysis"
Idacorp Inc.,Utilities,335602,"Infrastructure monitoring, demand forecasting"
IDT Corporation,Telecommunications,671361,"Network optimization, customer analytics"
IKON Office Solutions Inc.,Business Services,969219,"Process automation, predictive analytics"
Illinois Tool Works Inc.,Manufacturing,687830,"Predictive maintenance, process optimization"
IMC Global Inc.,Chemicals,400174,"Predictive maintenance, process optimization"
Imperial Sugar Company,Food Processing,871991,"Demand forecasting, supply chain optimization"
IMS Health Inc.,Healthcare,659624,"Data analytics, administration process automation"
Ingles Market Inc,Retail,764129,"Inventory optimization, demand forecasting"
Ingram Micro Inc.,Wholesale,647815,"Inventory optimization, demand forecasting"
Insight Enterprises Inc.,Technology,4538376,"Supply chain optimization, predictive analytics"
Integrated Electrical Services Inc.,Construction,403929,Project scheduling optimization  
Intel Corporation,Technology,8149592,"Chip design automation, equipment predictive maintenance"
International Paper Co.,Manufacturing,918613,"Predictive maintenance, supply chain optimization"
Interpublic Group of Companies Inc.,Advertising,795374,"Ad targeting, campaign optimization"
Interstate Bakeries Corporation,Food Processing,604695,"Demand forecasting, distribution optimization"
International Business Machines Corp.,Technology,3049103,"IT process automation, AI capabilities"
International Flavors & Fragrances Inc.,Manufacturing,369941,"Product development acceleration, demand forecasting"
International Multifoods Corporation,Food Processing,954975,"Demand forecasting, supply chain optimization"
Intuit Inc.,Technology,8655005,"Process automation, security enhancement"
IT Group Inc.,Construction,391666,Project scheduling optimization
ITT Industries Inc.,Manufacturing,840561,"Predictive maintenance, process optimization"
Ivax Corp.,Healthcare,835111,"Drug discovery acceleration, utilization analysis"
J.B. Hunt Transport Services Inc.,Transportation,962118,"Fleet routing optimization, demand forecasting"
J.C. Penny Co.,Retail,354700,"Customer analytics, inventory optimization"
J.P. Morgan Chase & Co.,Banking,607550,"Fraud detection, investment analytics"
Jabil Circuit Inc.,Manufacturing,377615,"Predictive maintenance, supply chain optimization "
Jack In The Box Inc.,Restaurants,586318,"Demand forecasting, customer analytics"
Jacobs Engineering Group Inc.,Engineering,916461,"Project optimization, predictive analytics"
JDS Uniphase Corp.,Technology,5097667,"Product testing automation, predictive maintenance"
Jefferson-Pilot Co.,Financial Services,919337,"Risk analytics, fraud detection"
John Hancock Financial Services Inc.,Financial Services,994579,"Risk modeling, fraud detection"
Johnson & Johnson,Healthcare,926062,"Drug discovery, precision medicine"
Johnson Controls Inc.,Manufacturing,958504,"Predictive maintenance, building automation"
Jones Apparel Group Inc.,Retail,423644,"Inventory optimization, demand forecasting"
KB Home,Homebuilding,355739,"Demand forecasting, process optimization"
Kellogg Company,Food Processing,320559,"Demand forecasting, supply chain optimization "
Kellwood Company,Manufacturing,461543,"Predictive maintenance, design optimization"
Kelly Services Inc.,Staffing,844875,Candidate matching and ranking
Kemet Corp.,Manufacturing,635461,"Predictive maintenance, quality control automation"
Kennametal Inc.,Manufacturing,498444,"Predictive maintenance, process optimization"
Kerr-McGee Corporation,Oil and Gas,434071,"Exploration optimization, equipment monitoring"
KeyCorp,Banking,982828,"Fraud detection, investment analytics  "
KeySpan Corp.,Utilities,825480,"Infrastructure monitoring, demand forecasting"
Kimball International Inc.,Manufacturing,329998,"Predictive maintenance, process optimization"
Kimberly-Clark Corporation,Manufacturing,957337,"Predictive maintenance, supply chain optimization"
Kindred Healthcare Inc.,Healthcare,472570,"Patient care optimization, administration automation"
KLA-Tencor Corporation,Technology,5068306,"Automated quality control, predictive maintenance"
K-Mart Corp.,Retail,196857,"Inventory optimization, demand forecasting"
Knight-Ridder Inc.,Media  ,351018,"Content recommendation, ad targeting"
Kohl's Corp.,Retail,197472,"Inventory optimization, customer analytics"
KPMG Consulting Inc.,Consulting,742182,"Data analytics, process optimization"
Kroger Co.,Retail,315129,"Inventory optimization, demand forecasting"
L-3 Communications Holdings Inc.,Aerospace/Defense,644160,"Predictive maintenance, supply chain optimization"
Laboratory Corporation of America Holdings,Healthcare,632370,"Automated diagnostics, fraud detection "
Lam Research Corporation,Technology,8562215,"Automated quality control, predictive maintenance "
LandAmerica Financial Group Inc.,Financial Services,122828,"Risk analytics, fraud detection"
Lands' End Inc.,Retail,519809,"Recommendation engine, demand forecasting"
Landstar System Inc.,Transportation,225851,"Fleet optimization, demand forecasting "
La-Z-Boy Inc.,Manufacturing,874761,"Predictive maintenance, process optimization"
Lear Corporation,Manufacturing,340355,"Predictive maintenance, design optimization"
Legg Mason Inc.,Financial Services,211875,"Investment analytics, fraud detection"
Leggett & Platt Inc.,Manufacturing,616473,"Predictive maintenance, process optimization "
Lehman Brothers Holdings Inc.,Financial Services,767491,"Investment analytics, fraud detection"
Lennar Corporation,Homebuilding,857619,"Demand forecasting, process optimization"
Lennox International Inc.,Manufacturing,545412,"Predictive maintenance, quality control automation"
Level 3 Communications Inc.,Telecommunications,447965,"Network optimization, predictive analytics"
Levi Strauss & Co.,Retail,970473,"Inventory optimization, demand forecasting"
Lexmark International Inc.,Technology,1780538,"Product optimization, predictive maintenance"
Limited Inc.,Retail,292146,"Inventory optimization, demand forecasting"
Lincoln National Corporation,Financial Services,842078,"Risk analytics, claims automation"
Linens 'n Things Inc.,Retail,700914,"Inventory optimization, demand forecasting"
Lithia Motors Inc.,Retail,191134,"Customer analytics, inventory optimization"
Liz Claiborne Inc.,Retail,527979,"Inventory optimization, demand forecasting"
Lockheed Martin Corporation,Aerospace/Defense,285836,"Predictive maintenance, supply chain optimization"
Loews Corporation,Conglomerate,591860,Wide range of AI applications
Longs Drug Stores Corporation,Retail,321482,"Inventory optimization, demand forecasting"
Louisiana-Pacific Corporation,Manufacturing,911782,"Predictive maintenance, process optimization"
Lowe's Companies Inc.,Retail,108047,"Inventory optimization, demand forecasting"
LSI Logic Corporation,Technology,6049159,"Chip design automation, predictive maintenance"
The LTV Corporation,Manufacturing ,312642,"Predictive maintenance, process optimization"
The Lubrizol Corporation,Chemicals,724401,"R&D acceleration, predictive maintenance "
Lucent Technologies Inc.,Telecommunications,138255,"Network optimization, predictive analytics"
Lyondell Chemical Company,Chemicals,279068,"Process optimization, predictive maintenance"
M & T Bank Corporation,Banking,578393,"Fraud detection, investment analytics"
Magellan Health Services Inc.,Healthcare,187043,"Claims automation, utilization analysis"
Mail-Well Inc.,Business Services,456496,"Process automation, data analytics"
Mandalay Resort Group,Hospitality,783217,"Customer analytics, demand forecasting  "
Manor Care Inc.,Healthcare,248343,"Patient care optimization, administration automation"
Manpower Inc.,Staffing  ,424903,Candidate matching and ranking
Marathon Oil Corporation,Oil and Gas,488833,"Exploration optimization, equipment monitoring"
Mariner Health Care Inc.,Healthcare,296620,"Patient care optimization, fraud detection"
Markel Corporation,Insurance,464087,"Risk analytics, claims automation"
Marriott International Inc.,Hospitality,446402,"Customer analytics, demand forecasting"
Marsh & McLennan Companies Inc.,Insurance,476037,"Risk analytics, claims automation "
Marsh Supermarkets Inc.,Retail ,102646,"Inventory optimization, demand forecasting"
Marshall & Ilsley Corporation,Banking,180343,"Fraud detection, investment analytics"
Martin Marietta Materials Inc.,Construction Materials,886238,"Demand forecasting, process optimization"
Masco Corporation,Manufacturing,559532,"Predictive maintenance, supply chain optimization"
Massey Energy Company,Mining,791422,"Equipment monitoring, predictive maintenance"
MasTec Inc.,Construction,601939,Project scheduling optimization  
Mattel Inc.,Consumer Goods,983373,"Demand forecasting, marketing optimization"
Maxim Integrated Products Inc.,Technology,9846486,"Chip design automation, predictive maintenance"
Maxtor Corporation,Technology,3868168,"Automated quality control, predictive maintenance"
Maxxam Inc.,Manufacturing,636701,"Predictive maintenance, process optimization"
The May Department Stores Company,Retail,196549,"Inventory optimization, demand forecasting"
Maytag Corporation,Manufacturing,183651,"Predictive maintenance, quality control automation"
MBNA Corporation,Financial Services,888240,"Credit analytics, fraud detection"
McCormick & Company Incorporated,Food Processing,348551,"Demand forecasting, supply chain optimization"
McDonald's Corporation,Restaurants  ,593415,"Demand forecasting, supply chain optimization"
The McGraw-Hill Companies Inc.,Media,725308,"Content recommendation, ad targeting "
McKesson Corporation,Healthcare,555601,"Inventory optimization, claims automation"
McLeodUSA Incorporated,Telecommunications,478539,"Network optimization, customer analytics"
M.D.C. Holdings Inc.,Homebuilding,576827,"Demand forecasting, process optimization"
MDU Resources Group Inc.,Utilities,265151,"Infrastructure monitoring, demand forecasting "
MeadWestvaco Corporation,Manufacturing,811063,"Predictive maintenance, supply chain optimization"
Medtronic Inc.,Healthcare,390800,"Medical device optimization, precision medicine"
Mellon Financial Corporation,Financial Services,678019,"Investment analytics, fraud detection "
The Men's Wearhouse Inc.,Retail,959570,"Inventory optimization, demand forecasting"
Merck & Co. Inc.,Healthcare,730040,"Drug discovery, precision medicine"
Mercury General Corporation,Insurance,381065,"Claims automation, risk modeling"
Merrill Lynch & Co. Inc.,Financial Services,798930,"Investment analytics, fraud detection"
Metaldyne Corporation,Manufacturing,524489,"Predictive maintenance, quality control automation"
Metals USA Inc.,Metals,324271,"Demand forecasting, predictive maintenance "
MetLife Inc.,Insurance,506023,"Claims automation, policy pricing optimization"
Metris Companies Inc,Financial Services,458147,"Credit scoring, fraud detection"
MGIC Investment Corporation,Financial Services,280090,"Risk analytics, fraud detection"
MGM Mirage,Hospitality,601691,"Customer analytics, demand forecasting"
Michaels Stores Inc.,Retail,409774,"Inventory optimization, demand forecasting"
Micron Technology Inc.,Technology,6541530,"Manufacturing process optimization, quality control"
Microsoft Corporation,Technology,2727566,"Product recommendation, IT process automation  "
Milacron Inc.,Manufacturing,608730,"Predictive maintenance, process optimization"
Millennium Chemicals Inc.,Chemicals,192120,"Process optimization, predictive maintenance"
Mirant Corporation,Energy,583456,"Predictive maintenance, demand forecasting"
Mohawk Industries Inc.,Manufacturing,525868,"Predictive maintenance, supply chain optimization"
Molex Incorporated,Manufacturing,241342,"Predictive maintenance, quality control automation"
The MONY Group Inc.,Financial Services,719506,"Risk modeling, fraud detection"
Morgan Stanley Dean Witter & Co.,Financial Services,302865,"Investment analytics, fraud detection"
Motorola Inc.,Technology,6090248,"Supply chain optimization, product optimization"
MPS Group Inc.,Staffing,214111,Candidate matching and ranking 
Murphy Oil Corporation,Oil and Gas,407825,"Exploration optimization, equipment monitoring"
Nabors Industries Inc,Oil and Gas,248264,"Predictive maintenance, drilling optimization"
Nacco Industries Inc,Manufacturing  ,208609,"Predictive maintenance, process optimization"
Nash Finch Company,Wholesale,136721,"Inventory optimization, demand forecasting  "
National City Corp.,Banking,184762,"Fraud detection, investment analytics"
National Commerce Financial Corporation,Banking,308407,"Fraud detection, credit risk analysis"
National Fuel Gas Company,Oil and Gas,671486,"Pipeline monitoring, equipment maintenance optimization"
National Oilwell Inc,Manufacturing,262213,"Predictive maintenance, process optimization"
National Rural Utilities Cooperative Finance Corporation,Financial Services,563805,"Risk analytics, investment optimization  "
National Semiconductor Corporation,Technology,5825430,"Chip design automation, predictive maintenance"
National Service Industries Inc,Business Services,115339,"Process automation, predictive analytics "
Navistar International Corporation,Manufacturing,598463,"Predictive maintenance, supply chain optimization"
NCR Corporation,Technology,1891017,"Process automation, predictive analytics"
The Neiman Marcus Group Inc.,Retail,501670,"Recommendation engine, inventory optimization"
New Jersey Resources Corporation,Utilities,549652,"Infrastructure monitoring, demand forecasting"
New York Times Company,Media,345449,"Content recommendation, ad targeting"
Newell Rubbermaid Inc,Manufacturing,770210,"Predictive maintenance, supply chain optimization "
Newmont Mining Corporation,Mining,452258,"Equipment monitoring, predictive maintenance"
Nextel Communications Inc,Telecommunications,163053,"Network optimization, customer churn prediction"
Nicor Inc,Utilities,342308,"Infrastructure monitoring, demand forecasting"
Nike Inc,Retail,881805,"Demand forecasting, inventory optimization  "
NiSource Inc,Utilities,628021,"Infrastructure monitoring, demand forecasting"
Noble Energy Inc,Oil and Gas,506899,"Exploration optimization, equipment monitoring "
Nordstrom Inc,Retail,762933,"Recommendation engine, inventory optimization"
Norfolk Southern Corporation,Transportation,218645,"Fleet optimization, demand forecasting"
Nortek Inc,Manufacturing,769569,"Predictive maintenance, process optimization"
North Fork Bancorporation Inc,Banking,955370,"Fraud detection, credit risk analysis"
Northeast Utilities System,Utilities,373087,"Infrastructure monitoring, demand forecasting "
Northern Trust Corporation,Financial Services,901207,"Investment analytics, fraud detection"
Northrop Grumman Corporation,Aerospace/Defense  ,615358,"Predictive maintenance, supply chain optimization"
NorthWestern Corporation,Utilities,918929,"Infrastructure monitoring, demand forecasting"
Novellus Systems Inc,Technology,7134090,"Automated quality control, predictive maintenance"
NSTAR,Utilities,755030,"Infrastructure monitoring, demand forecasting  "
NTL Incorporated,Telecommunications,910800,"Network optimization, customer analytics"
Nucor Corp,Metals,475569,"Predictive maintenance, demand forecasting"
Nvidia Corp,Technology,2283798,"Chip design automation, predictive maintenance"
NVR Inc,Homebuilding,749048,"Demand forecasting, process optimization"
Northwest Airlines Corp,Transportation,900206,"Pricing optimization, demand forecasting "
Occidental Petroleum Corp,Oil and Gas,501727,"Exploration optimization, equipment monitoring"
Ocean Energy Inc,Oil and Gas,461305,"Exploration optimization, equipment monitoring"
Office Depot Inc.,Retail,530945,"Inventory optimization, demand forecasting  "
OfficeMax Inc,Retail,380521,"Inventory optimization, demand forecasting"
OGE Energy Corp,Energy,756868,"Infrastructure monitoring, predictive maintenance"
Oglethorpe Power Corp.,Energy,632914,"Infrastructure monitoring, predictive maintenance "
Ohio Casualty Corp.,Insurance,974419,"Claims automation, risk modeling"
Old Republic International Corp.,Insurance,436524,"Claims automation, risk modeling"
Olin Corp.,Chemicals,158540,"Predictive maintenance, process optimization"
OM Group Inc,Chemicals,342127,"Process optimization, predictive maintenance"
Omnicare Inc,Healthcare,473243,"Inventory optimization, claims automation "
Omnicom Group,Advertising,274325,"Ad targeting, campaign optimization"
On Semiconductor Corp,Technology,2473993,"Chip design automation, predictive maintenance"
ONEOK Inc,Energy,178971,"Infrastructure monitoring, predictive maintenance "
Oracle Corp,Technology,9719019,"Process automation, security enhancement"
Oshkosh Truck Corp,Manufacturing,929077,"Predictive maintenance, design optimization"
Outback Steakhouse Inc.,Restaurants,719919,"Demand forecasting, supply chain optimization"
Owens & Minor Inc.,Wholesale,716451,"Inventory optimization, demand forecasting"
Owens Corning,Manufacturing,146160,"Predictive maintenance, supply chain optimization"
Owens-Illinois Inc,Manufacturing,951212,"Predictive maintenance, quality control automation"
Oxford Health Plans Inc,Healthcare,108470,"Claims automation, personalized policy recommendations"
Paccar Inc,Manufacturing,164605,"Predictive maintenance, design optimization"
PacifiCare Health Systems Inc,Healthcare,694653,"Claims automation, utilization analysis"
Packaging Corp. of America,Manufacturing,362899,"Predictive maintenance, process optimization"
Pactiv Corp,Manufacturing,151756,"Predictive maintenance, process optimization"
Pall Corp,Manufacturing,717430,"Predictive maintenance, quality control automation"
Pantry Inc,Retail,798421,"Inventory optimization, demand forecasting"
Park Place Entertainment Corp,Hospitality,341746,"Customer analytics, demand forecasting"
Parker Hannifin Corp.,Manufacturing,601129,"Predictive maintenance, design optimization"
Pathmark Stores Inc.,Retail,512962,"Inventory optimization, demand forecasting"
Paychex Inc,Business Services,501306,"Process automation, predictive analytics"
Payless Shoesource Inc,Retail,870152,"Inventory optimization, demand forecasting"
Penn Traffic Co.,Retail,158104,"Inventory optimization, demand forecasting"
Pennzoil-Quaker State Company,Oil and Gas,308360,"Predictive maintenance, demand forecasting"
Pentair Inc,Manufacturing,793428,"Predictive maintenance, quality control automation"
Peoples Energy Corp.,Utilities,265973,"Infrastructure monitoring, demand forecasting"
PeopleSoft Inc,Technology,1415444,"Process automation, predictive analytics"
Pep Boys Manny Moe & Jack,Retail,828797,"Inventory optimization, customer analytics"
Potomac Electric Power Co.,Energy,261888,"Infrastructure monitoring, predictive maintenance"
Pepsi Bottling Group Inc.,Food and Beverage,720295,"Demand forecasting, supply chain optimization"
PepsiAmericas Inc.,Food and Beverage,341328,"Demand forecasting, supply chain optimization"
PepsiCo Inc.,Food and Beverage,363457,"Demand forecasting, marketing optimization"
Performance Food Group Co.,Food Services  ,776595,"Demand forecasting, supply chain optimization"
Perini Corp,Construction,277420,Project scheduling optimization
PerkinElmer Inc,Healthcare,909896,"Diagnostics optimization, precision medicine"
Perot Systems Corp,Technology,6322733,"Process automation, predictive analytics"
Petco Animal Supplies Inc.,Retail,452166,"Inventory optimization, demand forecasting"
Peter Kiewit Sons' Inc.,Construction,365733,Project scheduling optimization
PETsMART Inc,Retail,243079,"Inventory optimization, customer analytics "
Pfizer Inc,Healthcare,382815,"Drug discovery, precision medicine"
Pacific Gas & Electric Corp.,Energy,109151,"Infrastructure monitoring, predictive maintenance"
Pharmacia Corp,Healthcare,472776,"Drug discovery, precision medicine"
Phar Mor Inc.,Retail,695022,"Inventory optimization, demand forecasting"
Phelps Dodge Corp.,Mining,164195,"Equipment monitoring, predictive maintenance"
Philip Morris Companies Inc.,Tobacco  ,888334,"Demand forecasting, supply chain optimization"
Phillips Petroleum Co,Oil and Gas,907652,"Exploration optimization, equipment monitoring"
Phillips Van Heusen Corp.,Retail,938482,"Inventory optimization, demand forecasting"
Phoenix Companies Inc,Financial Services,957000,"Risk modeling, fraud detection"
Pier 1 Imports Inc.,Retail,549270,"Recommendation engine, inventory optimization"
Pilgrim's Pride Corporation,Food Processing,637797,"Demand forecasting, supply chain optimization"
Pinnacle West Capital Corp,Energy,925390,"Infrastructure monitoring, predictive maintenance"
Pioneer-Standard Electronics Inc.,Manufacturing,805968,"Predictive maintenance, process optimization"
Pitney Bowes Inc.,Manufacturing,751937,"Predictive maintenance, supply chain optimization"
Pittston Brinks Group,Business Services,379223,"Process automation, predictive analytics"
Plains All American Pipeline LP,Oil and Gas,935937,Pipeline monitoring and optimization
PNC Financial Services Group Inc.,Banking,624661,"Fraud detection, investment analytics"
PNM Resources Inc,Energy,164905,"Infrastructure monitoring, predictive maintenance"
Polaris Industries Inc.,Manufacturing,290846,"Predictive maintenance, design optimization"
Polo Ralph Lauren Corp,Retail,811764,"Inventory optimization, demand forecasting"
PolyOne Corp,Chemicals,492836,"Process optimization, predictive maintenance"
Popular Inc,Banking,836164,"Fraud detection, credit risk analysis"
Potlatch Corp,Manufacturing,970112,"Predictive maintenance, process optimization"
PPG Industries Inc,Manufacturing,857252,"Predictive maintenance, process optimization"
PPL Corp,Energy,339462,"Infrastructure monitoring, predictive maintenance"
Praxair Inc,Chemicals,328657,"Process optimization, predictive maintenance"
Precision Castparts Corp,Manufacturing,168645,"Predictive maintenance, quality control automation"
Premcor Inc.,Oil and Gas,698094,"Predictive maintenance, demand forecasting"
Pride International Inc,Oil and Gas,184193,"Drilling optimization, equipment monitoring"
Primedia Inc,Media,399550,"Content recommendation, ad targeting"
Principal Financial Group Inc.,Financial Services,832468,"Risk modeling, fraud detection"
Procter & Gamble Co.,Consumer Goods,269210,"Demand forecasting, marketing optimization"
Pro-Fac Cooperative Inc.,Agriculture,643079,"Demand forecasting, supply chain optimization"
Progress Energy Inc,Energy,776936,"Infrastructure monitoring, predictive maintenance "
Progressive Corporation,Insurance,409253,"Claims automation, risk modeling"
Protective Life Corp,Insurance,539099,"Risk modeling, claims automation"
Provident Financial Group,Financial Services,270800,"Risk modeling, fraud detection"
Providian Financial Corp.,Financial Services,136557,"Credit risk scoring, fraud detection"
Prudential Financial Inc.,Financial Services,892696,"Risk modeling, fraud detection"
PSS World Medical Inc,Healthcare ,412626,"Inventory optimization, supply chain automation"
Public Service Enterprise Group Inc.,Energy,984844,"Infrastructure monitoring, predictive maintenance"
Publix Super Markets Inc.,Retail,719045,"Inventory optimization, demand forecasting"
Puget Energy Inc.,Energy,403607,"Infrastructure monitoring, predictive maintenance"
Pulte Homes Inc,Homebuilding,713054,"Demand forecasting, process optimization"
Qualcomm Inc,Technology,2452014,"Chip design automation, AI capabilities"
Quanta Services Inc.,Construction,262677,Project scheduling optimization
Quantum Corp,Technology,4913171,"Automated quality control, predictive maintenance "
Quest Diagnostics Inc.,Healthcare,659344,"Automated diagnostics, precision medicine"
Questar Corp,Energy,696439,"Infrastructure monitoring, predictive maintenance "
Quintiles Transnational,Healthcare,844651,"Clinical trial optimization, drug discovery acceleration"
Qwest Communications Intl Inc,Telecommunications,104135,"Network optimization, customer analytics"
R.J. Reynolds Tobacco Company,Tobacco,305412,"Demand forecasting, supply chain optimization"
R.R. Donnelley & Sons Company,Business Services,499373,"Process automation, predictive analytics"
Radio Shack Corporation,Retail,966743,"Inventory optimization, demand forecasting"
Raymond James Financial Inc.,Financial Services,389296,"Investment analytics, fraud detection"
Raytheon Company,Aerospace/Defense,728534,"Predictive maintenance, supply chain optimization"
Reader's Digest Association Inc.,Media,303249,"Content recommendation, marketing optimization"
Reebok International Ltd.,Retail,834070,"Inventory optimization, demand forecasting"
Regions Financial Corp.,Banking,767427,"Fraud detection, investment analytics"
Regis Corporation,Retail,996066,"Customer analytics, inventory optimization"
Reliance Steel & Aluminum Co.,Metals,108286,"Demand forecasting, predictive maintenance"
Reliant Energy Inc.,Energy,466082,"Infrastructure monitoring, predictive maintenance  "
Rent A Center Inc,Retail,654557,"Inventory optimization, customer analytics"
Republic Services Inc,Waste Management,289091,"Fleet routing optimization, predictive maintenance"
Revlon Inc,Consumer Goods,930363,"Demand forecasting, marketing optimization"
RGS Energy Group Inc,Business Services,294101,"Process automation, predictive analytics"
Rite Aid Corp,Retail,870041,"Inventory optimization, demand forecasting"
Riverwood Holding Inc.,Manufacturing ,623125,"Predictive maintenance, process optimization"
RoadwayCorp,Transportation,375732,"Fleet optimization, demand forecasting"
Robert Half International Inc.,Staffing,518514,Candidate matching and ranking
Rock-Tenn Co,Manufacturing,391607,"Predictive maintenance, process optimization"
Rockwell Automation Inc,Manufacturing,481464,"Predictive maintenance, process optimization"
Rockwell Collins Inc,Aerospace/Defense,436278,"Predictive maintenance, supply chain optimization "
Rohm & Haas Co.,Chemicals,615228,"Process optimization, predictive maintenance"
Ross Stores Inc,Retail ,919965,"Inventory optimization, demand forecasting"
RPM Inc.,Manufacturing,381725,"Predictive maintenance, process optimization"
Ruddick Corp,Retail,152352,"Inventory optimization, demand forecasting"
Ryder System Inc,Transportation,286529,"Fleet optimization, demand forecasting"
Ryerson Tull Inc,Metals,264968,"Demand forecasting, predictive maintenance"
Ryland Group Inc.,Homebuilding,962885,"Demand forecasting, process optimization"
Sabre Holdings Corp,Technology,3783977,"Travel booking optimization, predictive analytics"
Safeco Corp,Insurance,880957,"Claims automation, risk modeling"
Safeguard Scientifics Inc.,Consulting,301203,"Data analytics, business optimization"
Safeway Inc,Retail  ,669537,"Inventory optimization, demand forecasting"
Saks Inc,Retail,983901,"Recommendation engine, inventory optimization  "
Sanmina-SCI Inc,Technology,5641565,"Supply chain optimization, predictive maintenance"
Sara Lee Corp,Food Processing,258665,"Demand forecasting, supply chain optimization"
SBC Communications Inc,Telecommunications,117716,"Network optimization, customer analytics "
Scana Corp.,Energy,931969,"Infrastructure monitoring, predictive maintenance"
Schering-Plough Corp,Healthcare,283622,"Drug discovery, clinical trial optimization"
Scholastic Corp,Media,307376,"Content recommendation, marketing optimization"
SCI Systems Onc.,Technology,2341959,"Supply chain optimization, predictive maintenance"
Science Applications Intl. Inc.,Technology,7828232,"Process automation, predictive analytics"
Scientific-Atlanta Inc,Technology,4973385,"Product optimization, predictive maintenance"
Scotts Company,Manufacturing,663902,"Demand forecasting, supply chain optimization"
Seaboard Corp,Food Processing,373382,"Demand forecasting, supply chain optimization"
Sealed Air Corp,Manufacturing,194175,"Predictive maintenance, process optimization"
Sears Roebuck & Co,Retail,394361,"Inventory optimization, demand forecasting "
Sempra Energy,Energy,877439,"Infrastructure monitoring, predictive maintenance"
Sequa Corp,Aerospace/Defense,491983,"Predictive maintenance, supply chain optimization"
Service Corp. International,Business Services  ,853139,"Process automation, predictive analytics"
ServiceMaster Co,Business Services,715790,"Process automation, predictive analytics "
Shaw Group Inc,Construction,715812,Project scheduling optimization
Sherwin-Williams Company,Manufacturing,867260,"Demand forecasting, supply chain optimization"
Shopko Stores Inc,Retail,819953,"Inventory optimization, demand forecasting"
Siebel Systems Inc,Technology,3510032,"Customer analytics, sales process optimization"
Sierra Health Services Inc,Healthcare,101975,"Claims automation, utilization analysis"
Sierra Pacific Resources,Energy,142044,"Infrastructure monitoring, predictive maintenance"
Silgan Holdings Inc.,Manufacturing,770286,"Predictive maintenance, process optimization"
Silicon Graphics Inc,Technology,1711276,"Product optimization, predictive maintenance "
Simon Property Group Inc,Real Estate,993090,"Property valuation, investment optimization"
SLM Corporation,Financial Services,778294,"Credit risk modeling, loan analytics"
Smith International Inc,Oil and Gas,221864,"Equipment monitoring, drilling optimization"
Smithfield Foods Inc,Food Processing,518350,"Demand forecasting, supply chain optimization"
Smurfit-Stone Container Corp,Manufacturing,301780,"Predictive maintenance, process optimization"
Snap-On Inc,Manufacturing,218036,"Predictive maintenance, supply chain optimization"
Solectron Corp,Technology,9269569,"Supply chain optimization, predictive maintenance"
Solutia Inc,Chemicals,130335,"Process optimization, predictive maintenance"
Sonic Automotive Inc.,Retail,217867,"Inventory optimization, customer analytics"
Sonoco Products Co.,Manufacturing,616794,"Predictive maintenance, process optimization"
